year,month,date,temp_C,site
2019,9,20190910,18.59,AQUE
2019,9,20190910,19.12,MOHK
2019,9,20190911,18.9,ABUR
2019,9,20190911,18.35,AQUE
2019,9,20190911,18.9,MOHK
2019,9,20190912,18.94,ABUR
2019,9,20190912,17.93,AQUE
2019,9,20190912,18.94,MOHK
2019,9,20190913,19.2,ABUR
2019,9,20190913,18.44,AQUE
2019,9,20190913,19.2,MOHK
2019,9,20190914,19.53,ABUR
2019,9,20190914,18.36,AQUE
2019,9,20190914,19.54,MOHK
2019,9,20190915,19.79,ABUR
2019,9,20190915,18.43,AQUE
2019,9,20190915,19.81,MOHK
2019,9,20190916,20,ABUR
2019,9,20190916,18.92,AQUE
2019,9,20190916,20.03,MOHK
2019,9,20190917,20.08,ABUR
2019,9,20190917,19.01,AQUE
2019,9,20190917,20.11,MOHK
2019,9,20190918,20.3,ABUR
2019,9,20190918,19.12,AQUE
2019,9,20190918,20.32,MOHK
2019,9,20190919,20.33,ABUR
2019,9,20190919,19.23,AQUE
2019,9,20190919,20.35,MOHK
2019,9,20190920,20.29,ABUR
2019,9,20190920,19.02,AQUE
2019,9,20190920,20.31,MOHK
2019,9,20190921,20.15,ABUR
2019,9,20190921,19.08,AQUE
2019,9,20190921,20.19,MOHK
2019,9,20190922,20.16,ABUR
2019,9,20190922,19.3,AQUE
2019,9,20190922,20.19,MOHK
2019,9,20190923,20.32,ABUR
2019,9,20190923,19.86,AQUE
2019,9,20190923,20.34,MOHK
2019,9,20190924,20.36,ABUR
2019,9,20190924,20.09,AQUE
2019,9,20190924,20.38,MOHK
2019,9,20190925,20.51,ABUR
2019,9,20190925,20.02,AQUE
2019,9,20190925,20.53,MOHK
2019,9,20190926,20.19,ABUR
2019,9,20190926,19.66,AQUE
2019,9,20190926,20.2,MOHK
2019,9,20190927,20.1,ABUR
2019,9,20190927,19.35,AQUE
2019,9,20190927,20.1,MOHK
2019,9,20190928,19.8,ABUR
2019,9,20190928,18.8,AQUE
2019,9,20190928,19.83,MOHK
2019,9,20190929,19.41,ABUR
2019,9,20190929,18.36,AQUE
2019,9,20190929,19.44,MOHK
2019,9,20190930,18.17,ABUR
2019,9,20190930,16.49,AQUE
2019,9,20190930,18.25,MOHK
2019,10,20191001,17.85,ABUR
2019,10,20191001,15.68,AQUE
2019,10,20191001,17.94,MOHK
