year,month,day,MJO_120W
2009,3,24,-0.27
2009,3,29,1.94
2009,4,3,1.97
2009,4,8,1.54
2009,4,13,0.31
2009,4,18,-2.38
2009,4,23,-2.12
2009,4,28,-0.33
2009,5,3,1.29
2009,5,8,0.4
2009,5,13,0.49
2009,5,18,0.33
2009,5,23,0.53
2009,5,28,0.03
2009,6,2,-1.36
2009,6,7,-0.84
2009,6,12,0.81
2009,6,17,1.5
2009,6,22,1.31
2009,6,27,1.47
2009,7,2,0.34
2009,7,7,0.2
2009,7,12,-0.3
2009,7,17,-1.13
2009,7,22,-1.06
2009,7,27,-1.42
2009,8,1,-1.09
2009,8,6,-0.24
2009,8,11,0.65
2009,8,16,1.17
2009,8,21,1.04
2009,8,26,0.47
2009,8,31,-0.11
2009,9,5,-1.42
2009,9,10,-1.37
2009,9,15,0.23
2009,9,20,-1.29
2009,9,25,-1.73
2009,9,30,-1.11
2009,10,5,-1.11
2009,10,10,-0.51
2009,10,15,0.53
2009,10,20,0.52
2009,10,25,0.71
2009,10,30,1.52
2009,11,4,2.46
2009,11,9,0.56
2009,11,14,-0.33
2009,11,19,-1.6
2009,11,24,-1.23
2009,11,29,-1.2
2009,12,4,-0.45
2009,12,9,0.35
2009,12,14,-1.12
2009,12,19,0
2009,12,24,1.08
2009,12,29,0.03
2010,1,3,-1.04
2010,1,8,-1.15
2010,1,13,-1.48
2010,1,18,-1.93
2010,1,23,-0.79
2010,1,28,-0.56
2010,2,2,-0.33
2010,2,7,0.74
2010,2,12,1.78
2010,2,17,0
2010,2,22,0.77
2010,2,27,0.66
2010,3,4,0.17
2010,3,9,-0.06
2010,3,14,0.28
2010,3,19,0.59
2010,3,24,-0.38
2010,3,29,-1.37
2010,4,3,-0.62
2010,4,8,0.38
2010,4,13,0.51
2010,4,18,-0.26
2010,4,23,-0.5
2010,4,28,1.06
2010,5,3,1.68
2010,5,8,-0.44
2010,5,13,-0.46
2010,5,18,0
2010,5,23,-0.51
2010,5,28,1.07
2010,6,2,1.01
2010,6,7,1.07
2010,6,12,1
2010,6,17,1.34
2010,6,22,1.42
2010,6,27,0.73
2010,7,2,1.1
2010,7,7,0.9
2010,7,12,1.84
2010,7,17,2.37
2010,7,22,1.13
2010,7,27,0.31
2010,8,1,-0.21
2010,8,6,0.94
2010,8,11,1.18
2010,8,16,1.87
2010,8,21,0.89
2010,8,26,-0.37
2010,8,31,0.83
2010,9,5,1.9
2010,9,10,0.04
2010,9,15,0.4
2010,9,20,1.37
2010,9,25,1.67
2010,9,30,1.68
2010,10,5,0.44
2010,10,10,-1.69
2010,10,15,-0.71
2010,10,20,-0.16
2010,10,25,-0.51
2010,10,30,0.06
2010,11,4,-0.33
2010,11,9,-0.66
2010,11,14,0.61
2010,11,19,0.46
2010,11,24,0.56
2010,11,29,0.24
2010,12,4,-0.11
2010,12,9,-0.92
2010,12,14,-0.44
2010,12,19,0.68
2010,12,24,-0.48
2010,12,29,-0.07
2011,1,3,0.45
2011,1,8,-0.83
2011,1,13,-1.46
2011,1,18,-0.1
2011,1,23,0.23
2011,1,28,0.32
2011,2,2,-0.06
2011,2,7,0.22
2011,2,12,0.35
2011,2,17,-0.1
2011,2,22,-1.19
2011,2,27,0.19
2011,3,4,0.05
2011,3,9,1.08
2011,3,14,1.11
2011,3,19,0.07
2011,3,24,-1.55
2011,3,29,-1.24
2011,4,3,-1.46
2011,4,8,-0.15
2011,4,13,-0.51
2011,4,18,-0.08
2011,4,23,0.51
2011,4,28,0.12
2011,5,3,-2.1
2011,5,8,-1.62
2011,5,13,0.16
2011,5,18,1.07
2011,5,23,0.21
2011,5,28,-1.13
2011,6,2,0.24
2011,6,7,0.05
2011,6,12,-1.43
2011,6,17,-0.61
2011,6,22,-0.06
2011,6,27,-0.46
2011,7,2,-0.09
2011,7,7,-0.09
2011,7,12,1.41
2011,7,17,0.05
2011,7,22,-1.55
2011,7,27,-0.23
2011,8,1,0.36
2011,8,6,-0.49
2011,8,11,0.39
2011,8,16,1.3
2011,8,21,1.03
2011,8,26,1.31
2011,8,31,-0.46
2011,9,5,-0.6
2011,9,10,0.03
2011,9,15,0.06
2011,9,20,-1.21
2011,9,25,-0.9
2011,9,30,-1.49
2011,10,5,-0.51
2011,10,10,0.73
2011,10,15,2.33
2011,10,20,2.89
2011,10,25,0.83
2011,10,30,-0.08
2011,11,4,-0.83
2011,11,9,-1.27
2011,11,14,0.05
2011,11,19,1.08
2011,11,24,1.21
2011,11,29,-0.52
2011,12,4,-2.04
2011,12,9,-1.4
2011,12,14,-0.5
2011,12,19,-0.44
2011,12,24,-1.02
2011,12,29,-1
2012,1,3,-0.16
2012,1,8,-0.54
2012,1,13,-0.52
2012,1,18,-0.31
2012,1,23,-0.65
2012,1,28,-0.88
2012,2,2,-1.47
2012,2,7,0.71
2012,2,12,1.25
2012,2,17,1.35
2012,2,22,1.02
2012,2,27,0.77
2012,3,4,-0.9
2012,3,9,-1.51
2012,3,14,-1.5
2012,3,19,-2.11
2012,3,24,-0.52
2012,3,29,-0.64
2012,4,3,-0.88
2012,4,8,0.89
2012,4,13,1.27
2012,4,18,0.42
2012,4,23,-1.09
2012,4,28,-0.91
2012,5,3,-0.8
2012,5,8,-1.28
2012,5,13,-1.33
2012,5,18,-0.82
2012,5,23,-0.28
2012,5,28,-0.75
2012,6,2,-0.82
2012,6,7,-1.99
2012,6,12,-0.85
2012,6,17,0.87
2012,6,22,0.71
2012,6,27,0.17
2012,7,2,-0.17
2012,7,7,-0.39
2012,7,12,0.31
2012,7,17,-0.56
2012,7,22,-1.42
2012,7,27,-1.47
2012,8,1,-1.24
2012,8,6,-0.8
2012,8,11,0.49
2012,8,16,0.66
2012,8,21,0.17
2012,8,26,-0.35
2012,8,31,-0.69
2012,9,5,-0.45
2012,9,10,-1.42
2012,9,15,-0.68
2012,9,20,-0.62
2012,9,25,-0.76
2012,9,30,-1.92
2012,10,5,-1.15
2012,10,10,0.13
2012,10,15,0.9
2012,10,20,1.48
2012,10,25,0.94
2012,10,30,1.29
2012,11,4,-0.07
2012,11,9,-0.81
2012,11,14,-0.84
2012,11,19,-0.86
2012,11,24,-0.27
2012,11,29,0.88
2012,12,4,0.44
2012,12,9,-0.58
2012,12,14,0.76
2012,12,19,-0.02
2012,12,24,-0.26
2012,12,29,-0.65
2013,1,3,-1.35
2013,1,8,-2.5
2013,1,13,-0.84
2013,1,18,-0.61
2013,1,23,-0.74
2013,1,28,-0.39
2013,2,2,0.56
2013,2,7,0.23
2013,2,12,0.82
2013,2,17,-1.13
2013,2,22,-1.06
2013,2,27,-1.3
2013,3,4,-0.51
