"year","date","temp_C","site"
2020,20200225,15.69,"MOHK"
2020,20200226,15.57,"ABUR"
2020,20200226,15.56,"AQUE"
2020,20200226,15.57,"MOHK"
2020,20200227,15.82,"ABUR"
2020,20200227,15.72,"AQUE"
2020,20200227,15.83,"MOHK"
2020,20200228,15.89,"ABUR"
2020,20200228,15.8,"AQUE"
2020,20200228,15.9,"MOHK"
2020,20200229,15.89,"ABUR"
2020,20200229,15.37,"AQUE"
2020,20200229,15.88,"MOHK"
2020,20200301,15.98,"ABUR"
2020,20200301,15.24,"AQUE"
2020,20200301,15.98,"MOHK"
2020,20200302,15.28,"ABUR"
2020,20200302,14.93,"AQUE"
2020,20200302,15.28,"MOHK"
2020,20200303,15.13,"ABUR"
2020,20200303,15.01,"AQUE"
2020,20200303,15.13,"MOHK"
2020,20200304,15.05,"ABUR"
2020,20200304,15.08,"AQUE"
2020,20200304,15.04,"MOHK"
2020,20200305,15.19,"ABUR"
2020,20200305,15.2,"AQUE"
2020,20200305,15.18,"MOHK"
2020,20200306,15.26,"ABUR"
2020,20200306,15.53,"AQUE"
2020,20200306,15.26,"MOHK"
2020,20200307,14.95,"ABUR"
2020,20200307,15.55,"AQUE"
2020,20200307,14.97,"MOHK"
2020,20200308,14.97,"ABUR"
2020,20200308,15.13,"AQUE"
2020,20200308,14.99,"MOHK"
2020,20200309,14.94,"ABUR"
2020,20200309,14.71,"AQUE"
2020,20200309,14.95,"MOHK"
2020,20200310,14.48,"ABUR"
2020,20200310,14.68,"AQUE"
2020,20200310,14.49,"MOHK"
2020,20200311,14.52,"ABUR"
2020,20200311,14.67,"AQUE"
2020,20200311,14.53,"MOHK"
2020,20200312,14.53,"ABUR"
2020,20200312,14.54,"AQUE"
2020,20200312,14.54,"MOHK"
2020,20200313,14.48,"ABUR"
2020,20200313,14.48,"AQUE"
2020,20200313,14.49,"MOHK"
2020,20200314,14.59,"ABUR"
2020,20200314,14.5,"AQUE"
2020,20200314,14.61,"MOHK"
2020,20200315,14.73,"ABUR"
2020,20200315,14.69,"AQUE"
2020,20200315,14.73,"MOHK"
2020,20200316,15.07,"ABUR"
2020,20200316,14.76,"AQUE"
2020,20200316,15.07,"MOHK"
2020,20200317,15.2,"ABUR"
2020,20200317,14.68,"AQUE"
2020,20200317,15.2,"MOHK"
2020,20200318,14.99,"ABUR"
2020,20200318,14.56,"AQUE"
2020,20200318,14.97,"MOHK"
2020,20200319,15.16,"ABUR"
2020,20200319,14.59,"AQUE"
2020,20200319,15.15,"MOHK"
2020,20200320,15.11,"ABUR"
2020,20200320,14.68,"AQUE"
2020,20200320,15.11,"MOHK"
2020,20200321,15.17,"ABUR"
2020,20200321,14.7,"AQUE"
2020,20200321,15.19,"MOHK"
2020,20200322,15.14,"ABUR"
2020,20200322,14.96,"AQUE"
2020,20200322,15.18,"MOHK"
2020,20200323,15.31,"ABUR"
2020,20200323,15.14,"AQUE"
2020,20200323,15.34,"MOHK"
2020,20200324,15.37,"ABUR"
2020,20200324,15.07,"AQUE"
2020,20200324,15.4,"MOHK"
2020,20200325,14.96,"ABUR"
2020,20200325,14.98,"AQUE"
2020,20200325,14.99,"MOHK"
2020,20200326,14.75,"ABUR"
2020,20200326,14.46,"AQUE"
2020,20200326,14.74,"MOHK"
2020,20200327,13.98,"ABUR"
2020,20200327,13.89,"AQUE"
2020,20200327,13.94,"MOHK"
2020,20200328,13.41,"ABUR"
2020,20200328,13.72,"AQUE"
2020,20200328,13.41,"MOHK"
2020,20200329,13.28,"ABUR"
2020,20200329,13.27,"AQUE"
2020,20200329,13.29,"MOHK"
2020,20200330,13.32,"ABUR"
2020,20200330,12.93,"AQUE"
2020,20200330,13.33,"MOHK"
2020,20200331,13.55,"ABUR"
2020,20200331,13.2,"AQUE"
2020,20200331,13.57,"MOHK"
2020,20200401,14.6,"ABUR"
2020,20200401,13.54,"AQUE"
2020,20200401,14.61,"MOHK"
2020,20200402,14.93,"ABUR"
2020,20200402,13.46,"AQUE"
2020,20200402,14.94,"MOHK"
2020,20200403,14.7,"ABUR"
2020,20200403,13.55,"AQUE"
2020,20200403,14.72,"MOHK"
2020,20200404,14.68,"ABUR"
2020,20200404,13.76,"AQUE"
2020,20200404,14.69,"MOHK"
2020,20200405,14.56,"ABUR"
2020,20200405,13.86,"AQUE"
2020,20200405,14.56,"MOHK"
2020,20200406,14.33,"ABUR"
2020,20200406,13.92,"AQUE"
2020,20200406,14.34,"MOHK"
2020,20200407,14.19,"ABUR"
2020,20200407,13.74,"AQUE"
2020,20200407,14.22,"MOHK"
2020,20200408,14.13,"ABUR"
2020,20200408,13.62,"AQUE"
2020,20200408,14.15,"MOHK"
2020,20200409,13.8,"ABUR"
2020,20200409,13.26,"AQUE"
2020,20200409,13.81,"MOHK"
2020,20200410,14.08,"ABUR"
2020,20200410,12.81,"AQUE"
2020,20200410,14.11,"MOHK"
2020,20200411,14.43,"ABUR"
2020,20200411,13.43,"AQUE"
2020,20200411,14.45,"MOHK"
2020,20200412,14.9,"ABUR"
2020,20200412,14.05,"AQUE"
2020,20200412,14.9,"MOHK"
2020,20200413,15.04,"ABUR"
2020,20200413,14.36,"AQUE"
2020,20200413,15.04,"MOHK"
2020,20200414,15.15,"ABUR"
2020,20200414,14.52,"AQUE"
2020,20200414,15.15,"MOHK"
2020,20200415,15.39,"ABUR"
2020,20200415,14.62,"AQUE"
2020,20200415,15.4,"MOHK"
2020,20200416,15.47,"ABUR"
2020,20200416,15.51,"AQUE"
2020,20200416,15.49,"MOHK"
2020,20200417,15.63,"ABUR"
2020,20200417,15.51,"AQUE"
